Age_Ma,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
6.963294506,2328,40384,-3627,-737,49887,11932,3054256,6600,123,7953,80740,52211,565,796,96,3322,1445,113127,2211,5219,-1076,-1078,436,211,1311223,3057,16455,3561,24194.0,141984
6.963960171,2423,40406,-3702,-303,49616,12278,3145791,5998,429,7466,81620,52378,526,710,101,3348,1728,117948,1799,5305,-1627,-769,416,310,1307519,3040,15699,4179,23026.0,142725
6.964625835,2142,38274,-3729,-915,45854,11853,2955710,6268,20,6940,78652,49098,597,680,85,3254,1404,112645,1987,5284,-1709,-732,434,203,1305435,3070,15522,3397,23108.0,137189
6.965291023,1901,34519,-3267,-623,39554,9648,2739626,5539,-81,6478,69645,47841,554,610,133,2897,1415,106411,1775,5314,-1598,-1236,295,327,1303417,2738,14628,3193,20593.0,121252
6.965957165,1718,33851,-3221,-456,37973,8891,2640735,6198,275,6349,69661,46045,519,582,34,2787,1401,103132,1475,4742,-1907,-807,366,346,1304933,2132,14759,3163,20168.0,120319
6.966622829,2217,43033,-3813,-531,46638,13985,3185134,6470,441,7406,89952,47773,532,723,35,3303,1211,118836,1848,5841,-1459,-1236,371,299,1305789,2698,15474,2796,21690.0,155657
6.967288494,2818,43037,-4050,-877,48174,13150,3260725,6517,315,7235,84930,52422,646,781,126,3136,1895,124853,2039,6149,-1175,-1526,302,335,1313084,2661,15720,4214,21640.0,150452
6.967954159,2645,45345,-3855,-885,49246,14773,3147519,7375,725,7255,95112,50191,682,825,130,3390,1865,122219,1912,5578,-1955,-1484,448,290,1330757,2257,17091,3523,23647.0,165250
6.968619823,2693,50047,-3515,-532,48135,17253,3205137,7793,242,6942,106016,54397,599,916,211,3496,2062,125907,1791,5420,-1229,-1393,410,397,1340749,2837,15846,3670,24212.0,183802
6.969285488,2836,49410,-3402,-336,47909,16747,3177368,7540,719,7098,109197,52923,676,958,69,3423,2063,127574,1754,5742,-1723,-513,354,293,1348400,2304,16088,3412,25796.0,185730
6.969950676,3099,50016,-3776,-303,50221,17197,3132068,7709,454,6394,107916,52861,575,780,75,2993,2032,129206,1757,5802,-954,-1198,275,163,1355280,2706,17509,3062,26096.0,185937
6.970616817,3022,51540,-2814,-492,47440,19126,2844339,8269,408,6626,124528,48791,609,990,195,3436,2220,125327,2238,6617,-695,-1378,321,210,1359099,3092,16046,3146,28360.0,206485
6.971282482,2919,53788,-3350,-255,47231,19085,2891303,8644,578,6840,131404,50136,616,951,91,3585,2385,122118,2759,6718,-1357,-941,541,270,1362170,2602,17005,3225,30028.0,215840
6.971948147,3244,55004,-3275,-476,48576,20126,2891895,9117,481,6376,135910,53273,622,931,81,3583,2504,123094,1445,6726,-1163,-926,518,224,1366480,2596,16825,4040,30870.0,223401
6.972613811,3371,55907,-2690,-187,48993,21411,2915676,9304,628,6219,137296,51368,667,1060,164,4128,2352,126066,1902,5742,-1459,-551,457,374,1367817,2636,16397,3569,29006.0,227289
