Age_Ma,C. wuellerstorfi13C,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
7.213,0.745,3132,49337,-3107,-828,45942,15335,2611727,8267,176,5159,112665,49312,556,869,45,3192,2390,100645,1817,4995,-1754,-1364,480,361,1369257,2471,15733,3038,29895,188736
7.219,0.644,3362,56846,-3214,-686,50202,20039,2781917,8791,562,6036,140226,50284,536,986,38,3750,2395,109955,2413,6117,-1227,-992,412,365,1388844,3160,15704,3638,30316,229264
7.225,0.669,3567,53170,-3625,-601,49279,16888,2904030,8329,439,5912,123149,50262,537,1018,132,3377,2587,110965,1894,5809,-374,-953,415,289,1375969,2625,16819,3830,28524,205103
7.231,0.809,2996,48875,-3355,-1023,45398,16022,2723118,7768,27,5310,111932,49648,528,886,74,3194,2316,101144,2062,5018,-1115,-915,373,164,1333570,2901,15910,3371,27474,187593
7.237,0.645,3341,53026,-3608,-1027,48838,16606,2775653,8814,96,6170,125212,48790,627,1092,118,3586,2374,104950,2120,5287,-986,-539,324,202,1329346,2690,16462,3627,31828,206999
7.243,0.613,3096,54822,-3678,-1108,49609,16813,3035400,8319,827,6065,122119,51073,566,978,164,3527,2696,111200,1890,5732,-1123,-833,363,199,1368615,2595,16639,3365,28185,205169
7.251,0.693,2881,53163,-3954,-1128,51535,16825,2963800,8027,800,5567,124403,50741,542,963,162,3716,2316,113070,2025,5644,-1116,-1000,422,243,1375164,2671,17460,3595,28312,205299
7.259,0.71,3207,54217,-4271,-1148,54550,17964,3024677,8000,380,5616,122681,50329,468,931,103,3480,2466,113540,1661,5498,-1271,-1011,498,377,1368578,3266,17200,3661,27042,206069
7.266,0.515,2913,54332,-3955,-1367,53145,16354,2909348,8384,161,5400,123087,51029,515,827,161,3931,2249,109375,1894,6086,-1661,-1569,501,344,1349324,2988,16592,3985,28484,205070
7.274,0.766,2718,50269,-4198,-1499,54161,15364,2841299,7448,869,5203,111274,49109,1070,1162,141,3591,2409,107353,1970,5386,-1754,-1067,844,268,1317855,2889,15203,3371,25629,187073
7.291,0.803,2641,46248,-3094,-561,54453,16678,2854641,7164,669,5190,107169,52303,432,778,129,3687,2001,109291,1929,5257,-1430,-1680,321,274,1320253,3247,16671,2495,26800,179900
7.299,0.722,2888,47615,-3838,-769,51770,13990,3229715,7122,1126,5729,100024,52039,491,849,43,3426,1941,110888,1510,4969,-1380,-1130,398,229,1337446,2742,15588,4053,24089,171639
7.307,0.644,1448,34762,-4298,-864,52749,10526,2956921,5277,1077,5721,77130,48565,392,724,80,2732,1657,104763,1253,5168,-689,-975,250,257,1351699,2951,15994,3559,20525,129143
7.314,0.828,2176,42223,-4303,-1155,49260,12289,3351534,5883,170,5821,87612,53752,528,729,79,2702,1620,111456,1565,5175,-1736,-1151,443,260,1355855,2195,15687,2946,22245,150183
7.322,0.701,2760,45296,-4569,-946,50714,11111,3511881,6572,564,5520,84770,52785,575,693,146,2976,1448,111182,1663,5167,-1595,-850,331,317,1358687,3290,16262,3054,27598,150509
7.329,0.743,1332,31595,-3544,-1234,48600,10455,2675969,5128,1156,4199,72880,50116,470,587,81,2804,1427,98060,1439,5028,-1602,-1304,405,218,1301031,2467,16285,2446,21449,121390
7.337,0.732,2353,42425,-4987,-1083,51642,9436,3615073,5321,286,5393,73108,52069,600,675,94,2995,1842,113231,1312,5289,-2040,-1166,383,211,1313849,3278,15742,3587,22074,132643
7.344,0.767,2727,47249,-4522,-783,46130,12671,3490281,6099,149,5632,96907,50409,403,760,119,3003,1778,116785,1459,5080,-756,-1034,424,366,1338597,2245,16349,3221,23934,165653
7.352,0.839,2249,44580,-3466,-969,48906,12285,3062872,7035,315,4809,100537,50022,532,883,90,3344,2288,116028,1452,5584,-1292,-1475,408,318,1359423,2883,16734,2900,29546,166686
7.359,0.915,2467,45009,-4611,-1140,55367,12150,3314981,6690,322,5302,95341,53668,439,768,99,3649,1931,115909,1157,5734,-1905,-1196,390,487,1361968,2101,15240,3326,24404,161657
7.367,0.956,2422,40590,-4770,-994,51631,8765,3561894,5106,101,5693,74962,52177,351,553,89,3177,1296,111709,921,5582,-1156,-1449,321,357,1343930,2912,16103,3094,20744,131845
7.374,0.875,1932,39699,-5438,-1810,51008,9070,3462586,5645,445,5894,77842,54369,430,643,82,3017,1962,112038,1706,5348,-1294,-877,322,179,1315966,2952,14945,3364,21334,134188
7.382,0.836,2229,43143,-5613,-816,52509,10028,3481060,5658,433,6414,84187,51456,474,709,145,3305,1713,113357,1459,5262,-1414,-1034,411,286,1348634,2659,15865,3507,24063,145245
7.39,0.729,3087,44632,-4691,-1708,52019,10572,3347424,6321,349,6244,93851,53370,568,809,115,3479,1915,112171,1204,4541,-1997,-1213,441,372,1363994,2426,16316,2845,28879,158463
7.397,0.736,2312,41563,-5417,-1494,56395,7305,3482306,5479,377,6703,79604,48892,560,694,128,3483,1607,112632,1894,4924,-1549,-1177,584,282,1362841,2516,15980,2889,23364,136263
7.405,0.634,2401,41196,-5415,-1385,55346,7828,3481592,5987,-127,7020,81391,50502,454,817,146,3242,2397,109871,1268,5449,-1344,-1419,417,404,1359123,2817,16048,3641,24266,138803
7.409,0.73,1696,36429,-5792,-1677,53783,7023,3607483,4913,395,6466,66595,51644,440,642,187,3063,1432,112532,1377,4954,-889,-803,308,208,1322302,2227,16518,3408,18479,116656
7.412,0.679,997,25537,-3926,-1443,40634,5015,2619704,3833,474,4634,48629,46637,429,717,180,2837,1215,102483,1195,4332,-844,-1010,517,324,1341538,2017,15673,3785,17334,84011
7.413,0.627,1242,28073,-4809,-1359,46591,5854,2838635,3385,857,4997,51184,53595,424,643,47,2949,1113,101538,832,4344,-1967,-1165,454,273,1340848,2345,15784,2898,17808,89738
7.42,0.654,1284,24028,-2683,-1404,27621,4663,1989490,3105,1500,3364,43149,47215,365,629,144,1645,1194,78719,1026,4277,-729,-951,462,193,1299779,1963,14163,2930,17027,76229
7.421,0.712,1350,27043,-2959,-1360,30974,5886,2202232,3497,1584,3256,46911,50748,422,518,67,1995,1426,84453,693,3453,-1945,-1004,355,311,1289710,1943,14855,2430,16771,84687
7.428,0.855,1909,38033,-3892,-1245,45082,9300,2654276,5282,1049,4795,74640,49592,636,849,186,2832,1596,103176,1549,5353,-1479,-1681,488,261,1327643,1953,15174,3186,23002,129164
7.432,0.757,1672,30389,-3046,-813,39061,7281,2151154,5945,524,3846,70806,40005,463,818,64,2836,1697,96346,1520,5231,-1583,-1367,476,356,1341753,2411,15862,3338,25030,116093
7.441,0.799,2629,45440,-3591,-899,50301,12448,2992949,6981,478,5381,87912,52908,634,808,185,3174,1721,113736,1639,4816,-1325,-924,399,210,1302253,2684,16303,3826,28112,155410
7.446,0.873,2017,35303,-4958,-966,53596,8332,3384188,4507,-86,6444,59009,51102,508,931,120,3070,1447,115183,1498,4737,-898,-817,347,250,1358779,2386,16394,2758,19737,109168
7.451,0.832,1559,31632,-4019,-1239,44804,6792,2856018,4447,1070,5418,53419,48161,501,637,63,3140,1094,107379,1343,4759,-1912,-1060,438,529,1362690,1868,15156,3257,20044,97849
7.456,0.668,2082,37559,-3225,-1179,43401,8880,2450781,5515,1437,4463,70073,52535,455,634,104,2842,1413,90302,1437,4495,-1612,-1174,280,258,1366699,1955,15356,2744,24729,124109
7.46,0.578,2415,43401,-3671,-608,49721,11122,2903575,6428,387,5838,83731,49385,551,907,91,3271,1692,107945,1680,4566,-1378,-1542,359,364,1366290,3300,16427,3900,27300,147097
7.465,0.69,2371,41370,-4108,-1136,45808,11134,3118050,6325,1778,5961,72481,52786,433,765,170,2750,1400,104944,1800,4939,-1191,-1049,393,284,1333135,1777,16830,3080,21992,133681
7.47,0.473,1592,32614,-2948,-965,32755,9551,2235874,5532,1636,3783,74399,53931,467,867,107,1986,1579,84721,1430,3910,-875,-470,306,220,1245621,1882,14747,3139,20063,123688
7.475,0.783,3110,50179,-3896,-1115,50641,13889,2983047,8198,651,4839,104105,53649,502,952,182,3212,1511,105166,1993,5900,-759,-1547,442,296,1348765,2903,17506,2872,32460,179481
